in s,C3 in V
-9.6279600E-05,-2.92969E-03
-9.6270400E-05,2.63672E-02
-9.6261200E-05,3.61328E-02
-9.6252000E-05,1.66016E-02
-9.6242800E-05,4.58984E-02
-9.6233600E-05,5.56641E-02
-9.6224400E-05,1.66016E-02
-9.6215200E-05,1.66016E-02
-9.6206000E-05,-2.92969E-03
-9.6196800E-05,3.61328E-02
-9.6187600E-05,1.66016E-02
-9.6178400E-05,1.66016E-02
-9.6169200E-05,1.66016E-02
-9.6160000E-05,4.58984E-02
-9.6150800E-05,1.66016E-02
-9.6141600E-05,2.63672E-02
-9.6132400E-05,-2.92969E-03
-9.6123200E-05,1.66016E-02
-9.6114000E-05,4.58984E-02
-9.6104800E-05,2.63672E-02
-9.6095600E-05,2.63672E-02
-9.6086400E-05,6.83594E-03
-9.6077200E-05,3.61328E-02
-9.6068000E-05,-2.24609E-02
-9.6058800E-05,6.83594E-03
-9.6049600E-05,1.66016E-02
-9.6040400E-05,4.58984E-02
-9.6031200E-05,3.61328E-02
-9.6022000E-05,1.66016E-02
-9.6012800E-05,-2.24609E-02
-9.6003600E-05,2.63672E-02
-9.5994400E-05,1.66016E-02
-9.5985200E-05,1.66016E-02
-9.5976000E-05,6.83594E-03
-9.5966800E-05,4.58984E-02
-9.5957600E-05,6.83594E-03
-9.5948400E-05,-2.92969E-03
-9.5939200E-05,1.66016E-02
-9.5930000E-05,3.61328E-02
-9.5920800E-05,5.56641E-02
-9.5911600E-05,-2.24609E-02
-9.5902400E-05,3.61328E-02
-9.5893200E-05,3.61328E-02
-9.5884000E-05,-2.92969E-03
-9.5874800E-05,4.58984E-02
-9.5865600E-05,8.49609E-02
-9.5856400E-05,3.61328E-02
-9.5847200E-05,2.63672E-02
-9.5838000E-05,1.66016E-02
-9.5828800E-05,1.66016E-02
-9.5819600E-05,2.63672E-02
-9.5810400E-05,3.61328E-02
-9.5801200E-05,6.83594E-03
-9.5792000E-05,-1.26953E-02
-9.5782800E-05,4.58984E-02
-9.5773600E-05,1.66016E-02
-9.5764400E-05,2.63672E-02
-9.5755200E-05,3.61328E-02
-9.5746000E-05,3.61328E-02
-9.5736800E-05,7.51953E-02
-9.5727600E-05,6.83594E-03
-9.5718400E-05,7.51953E-02
-9.5709200E-05,1.66016E-02
-9.5700000E-05,5.56641E-02
-9.5690800E-05,2.63672E-02
-9.5681600E-05,3.61328E-02
-9.5672400E-05,-2.92969E-03
-9.5663200E-05,-3.22266E-02
-9.5654000E-05,2.63672E-02
-9.5644800E-05,1.66016E-02
-9.5635600E-05,4.58984E-02
-9.5626400E-05,-2.92969E-03
-9.5617200E-05,2.63672E-02
-9.5608000E-05,2.63672E-02
-9.5598800E-05,3.61328E-02
-9.5589600E-05,3.61328E-02
-9.5580400E-05,1.66016E-02
-9.5571200E-05,1.66016E-02
-9.5562000E-05,1.66016E-02
-9.5552800E-05,-2.92969E-03
-9.5543600E-05,7.51953E-02
-9.5534400E-05,3.61328E-02
-9.5525200E-05,3.61328E-02
-9.5516000E-05,2.63672E-02
-9.5506800E-05,6.54297E-02
-9.5497600E-05,-2.24609E-02
-9.5488400E-05,4.58984E-02
-9.5479200E-05,3.61328E-02
-9.5470000E-05,-3.22266E-02
-9.5460800E-05,2.63672E-02
-9.5451600E-05,4.58984E-02
-9.5442400E-05,3.61328E-02
-9.5433200E-05,-1.26953E-02
-9.5424000E-05,3.61328E-02
-9.5414800E-05,2.63672E-02
-9.5405600E-05,2.63672E-02
-9.5396400E-05,-1.26953E-02
-9.5387200E-05,6.54297E-02
-9.5378000E-05,5.56641E-02
-9.5368800E-05,1.66016E-02
-9.5359600E-05,1.66016E-02
-9.5350400E-05,1.66016E-02
-9.5341200E-05,4.58984E-02
-9.5332000E-05,6.54297E-02
-9.5322800E-05,3.61328E-02
-9.5313600E-05,6.83594E-03
